Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,3550000,7100000,18750000,46880000,72780000,112080000,117320000,154710000,209690000,304200000,244690000,260980000,259010000,339760000,277290000,342740000,339420000,247980000,259700000,332520000,360410000,289420000,331770000,338930000,372290000,441590000,387780000,376240000,567210000,687150000,497470000,456860000,566950000,
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,13300000,47210000,67970000,78840000,95810000,101300000,125870000,184130000,275680000,323820000,308370000,376690000,381390000,441300000,477900000,478900000,557740000,528950000,465560000,511540000,559600000,536790000,513090000,564540000,788610000,878140000,857650000,973500000,948260000,969550000,928590000,960310000,729990000,
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22202966679,27731770927,39111105584,47031906970,45867524462,53641608808,60688500652,
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.90520287,24.35794252,26.51408267,28.3341756,31.81168056,31.27975992,32.84706625,
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05528155,51.10746155,52.7552842,51.22718968,54.77782096,51.55249845,52.42444146,
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39272833557,54563185729,83476171503,1.11787E+11,1.08251E+11,1.42424E+11,1.45542E+11,
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70458E+11,9.73458E+11,1.25536E+12,1.49357E+12,1.26033E+12,1.64772E+12,1.99708E+12,
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779191945,0.615170864,0.76888144,1.022619983,1.358985509,1.783213105,2.093020612,
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81308E+11,8.59607E+11,1.10785E+12,1.32758E+12,1.11615E+12,1.47623E+12,1.81232E+12,
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89149912936,1.13851E+11,1.47511E+11,1.6599E+11,1.44185E+11,1.7149E+11,1.84761E+11,
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157401785.8,204503785.2,342634075,570536223.2,429452520,830483814,743301698,
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09731E+11,1.02802E+12,1.33883E+12,1.60535E+12,1.36858E+12,1.79014E+12,2.14262E+12,
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30402498,18.45857985,21.23495135,23.14449585,16.34637328,19.94900244,19.25186487,
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.86150153,29.81878773,25.240883,24.60569449,27.51682025,26.715286,26.23067306,
